Counter,Start time,End time,Total time
0,1571238611453,1571238612592,1139
1,1571238612517,1571238613483,966
2,1571238638554,1571238639492,938
3,1571238654589,1571238655478,889
4,1571238657617,1571238658501,884
5,1571238682636,1571238683501,865
6,1571238688652,1571238689559,907
7,1571238698699,1571238699771,1072
8,1571238703734,1571238704598,864
9,1571238717785,1571238718577,792
10,1571238717808,1571238718577,769
0,1571238740456,1571238741542,1086
1,1571238755481,1571238756473,992
11,1571238758825,1571238759515,690
2,1571238764500,1571238765560,1060
3,1571238767514,1571238768487,973
4,1571238772541,1571238773607,1066
5,1571238777551,1571238778527,976
12,1571238777837,1571238778534,697
13,1571238783849,1571238784600,751
14,1571238797866,1571238798570,704
15,1571238798881,1571238799610,729
6,1571238806568,1571238807565,997
7,1571238810580,1571238811516,936
8,1571238810597,1571238811549,952
16,1571238812894,1571238813607,713
17,1571238817906,1571238818520,614
18,1571238835933,1571238836586,653
19,1571238840945,1571238841714,769
20,1571238842956,1571238843583,627
9,1571238847609,1571238848516,907
10,1571238847634,1571238848588,954
21,1571238852985,1571238853625,640
22,1571238855997,1571238856543,546
23,1571238864010,1571238864701,691
0,1571238867461,1571238868549,1088
11,1571238872650,1571238873527,877
1,1571238873471,1571238874602,1131
12,1571238877666,1571238878539,873
2,1571238878483,1571238879699,1216
3,1571238883507,1571238884631,1124
13,1571238891695,1571238892673,978
24,1571238893022,1571238893615,593
4,1571238894533,1571238895581,1048
5,1571238895547,1571238896551,1004
14,1571238896708,1571238897613,905
6,1571238905566,1571238906578,1012
25,1571238906036,1571238906578,542
26,1571238911056,1571238911527,471
7,1571238912595,1571238913563,968
15,1571238920721,1571238921617,896
27,1571238924071,1571238924760,689
28,1571238926088,1571238926590,502
8,1571238936614,1571238937597,983
16,1571238938734,1571238939571,837
9,1571238940629,1571238941555,926
17,1571238952751,1571238953576,825
10,1571238957648,1571238958584,936
18,1571238960771,1571238961613,842
29,1571238966102,1571238966626,524
30,1571238974118,1571238974664,546
31,1571238977132,1571238977567,435
19,1571238977783,1571238978655,872
20,1571238985797,1571238986678,881
21,1571238989817,1571238990913,1096
32,1571238991146,1571238991586,440
11,1571238992665,1571238993786,1121
22,1571238993830,1571238994616,786
12,1571238995677,1571238996606,929
13,1571239001712,1571239002566,854
23,1571239001853,1571239002631,778
0,1571239002461,1571239003610,1149
24,1571239005864,1571239006627,763
1,1571239008472,1571239009661,1189
14,1571239009726,1571239010711,985
25,1571239012877,1571239013611,734
33,1571239018158,1571239018642,484
26,1571239024893,1571239025668,775
2,1571239026486,1571239027620,1134
15,1571239026740,1571239027641,901
3,1571239029498,1571239030650,1152
34,1571239031168,1571239031698,530
4,1571239032525,1571239033698,1173
5,1571239032545,1571239033698,1153
35,1571239034181,1571239034617,436
16,1571239034749,1571239035664,915
36,1571239035199,1571239035670,471
17,1571239035770,1571239036718,948
27,1571239042913,1571239043926,1013
6,1571239044570,1571239045590,1020
18,1571239046782,1571239047751,969
7,1571239047580,1571239048826,1246
19,1571239048792,1571239049621,829
20,1571239049804,1571239050702,898
28,1571239050925,1571239051646,721
21,1571239052817,1571239053630,813
22,1571239054834,1571239055613,779
37,1571239056210,1571239056659,449
29,1571239056938,1571239057717,779
38,1571239058223,1571239058643,420
39,1571239060232,1571239060658,426
8,1571239060603,1571239061670,1067
9,1571239064625,1571239065654,1029
10,1571239068640,1571239069681,1041
30,1571239068951,1571239069701,750
40,1571239069243,1571239069776,533
11,1571239069651,1571239070663,1012
41,1571239071266,1571239071653,387
42,1571239072276,1571239072639,363
23,1571239073851,1571239074688,837
24,1571239074881,1571239075631,750
43,1571239076296,1571239076713,417
12,1571239077661,1571239078699,1038
13,1571239077671,1571239078699,1028
25,1571239086906,1571239087746,840
