Counter,Start time,POW time,End time,Start to End time,POW execution time,Latency time
0,1571663340655,1571663345372,1571663346100,5445,728,4717
1,1571663341702,1571663342837,1571663344558,2856,1721,1135
2,1571663343735,1571663343780,1571663345343,1608,1563,45
3,1571663344781,1571663344813,1571663345361,580,548,32
4,1571663346813,1571663346828,1571663348432,1619,1604,15
5,1571663347828,1571663347860,1571663349395,1567,1535,32
6,1571663349860,1571663349881,1571663351489,1629,1608,21
7,1571663350882,1571663350908,1571663352141,1259,1233,26
8,1571663352909,1571663352930,1571663354270,1361,1340,21
9,1571663353931,1571663353953,1571663355509,1578,1556,22
